a,m,error
2.2620355572438795,2.5311774349669482,4.0201816536789054e-05
2.2618448528454236,2.5313303184813405,3.960933316932864e-05
2.2616558246242184,2.5314818152781524,3.902737313106378e-05
2.2614684581693236,2.5316319378660856,3.84557510936263e-05
2.2612827391873815,2.5317806986410676,3.789428495595874e-05
2.2610986535017643,2.5319281098872715,3.734279578899213e-05
2.260916187051729,2.532074183778125,3.680110778126186e-05
2.260735325891574,2.5322189323773108,3.626904818542433e-05
2.260556056189801,2.5323623676397577,3.574644726568168e-05
2.260378364228281,2.5325045014126224,3.5233138246079264e-05
2.2602022364014256,2.5326453454362627,3.472895725967355e-05
2.2600276592153605,2.5327849113452015,3.4233743298559986e-05
2.2598546192871063,2.532923210669082,3.374733816473557e-05
2.2596831033437614,2.5330602548336145,3.326958642178553e-05
2.2595130982216896,2.5331960551615147,3.280033534738831e-05
2.259344590865712,2.5333306228734327,3.233943488661998e-05
2.2591775683283055,2.5334639690888743,3.188673760603959e-05
2.2590120177688022,2.5335961048271134,3.144209864855534e-05
2.258847926452596,2.5337270410080963,3.100537568904651e-05
2.2586852817503513,2.533856788453338,3.057642889073733e-05
2.258524071137219,2.53398535788681,3.0155120862305612e-05
2.2583642821920544,2.53411275993582,2.9741316615716282e-05
2.2582059025966386,2.5342390051318837,2.9334883524765764e-05
2.2580489201349088,2.534364103911589,2.8935691284331925e-05
2.2578933226921887,2.5344880666174525,2.8543611870307758e-05
2.257739098254425,2.5346109034987663,2.815851950021288e-05
2.2575862349074285,2.5347326247124404,2.7780290594479247e-05
2.2574347208361183,2.5348532403238337,2.7408803738386324e-05
2.257284544323773,2.5349727603075816,2.704393964463881e-05
2.257135693751283,2.5350911945484125,2.668558111658682e-05
2.256988157596409,2.5352085528419583,2.6333613012063254e-05
2.256841924433046,2.535324844895558,2.59879222078385e-05
2.2566969829304897,2.5354400803290535,2.564839756467736e-05
2.2565533218527065,2.535554268675578,2.531492989298964e-05
2.2564109300576125,2.535667419382338,2.498741191906537e-05
2.2562697964963507,2.5357795418113867,2.466573825187974e-05
2.2561299102125774,2.535890645240393,2.434980535047024e-05
2.255991260341751,2.5360007388634007,2.403951149186177e-05
2.2558538361104246,2.5361098317915824,2.373475673954459e-05
2.2557176268355446,2.5362179330539867,2.3435442912482266e-05
2.2555826219237516,2.536325051598277,2.3141473554651202e-05
2.2554488108706883,2.536431196291466,2.2852753905101864e-05
2.255316183260309,2.536536375920642,2.256919086852746e-05
2.2551847287641946,2.5366405991936896,2.2290692986330546e-05
2.2550544371408736,2.5367438747400017,2.2017170408195604e-05
2.254925298235143,2.5368462111111882,2.1748534864135352e-05
2.2547973019773986,2.536947616781776,2.1484699637022307e-05
2.2546704383829663,2.5370481001499035,2.1225579535582464e-05
2.254544697551439,2.5371476695380086,2.0971090867859566e-05
2.2544200696660157,2.537246333193511,2.0721151415127758e-05
2.254296544992849,2.5373440992894887,2.047568040624781e-05
2.2541741138803926,2.537440975925345,2.0234598492472527e-05
2.2540527667587553,2.5375369711274756,1.999782772267317e-05
2.2539324941390593,2.5376320928499227,1.9765291518999483e-05
2.2538132866128002,2.53772634897503,1.953691465294471e-05
2.253695134851216,2.537819747314086,1.931262322183666e-05
2.2535780296046544,2.5379122956079656,1.9092344625719112e-05
2.253461961701949,2.538004001527763,1.887600754463594e-05
2.2533469220497975,2.5380948726754218,1.8663541916306467e-05
2.253232901632144,2.5381849165843553,1.8454878914179626e-05
2.2531198915095674,2.538274140720066,1.8249950925868506e-05
2.2530078828186695,2.5383625524807565,1.804869153195593e-05
2.252896866771473,2.5384501591979354,1.7851035485162523e-05
2.252786834654819,2.538536968137018,1.7656918689872512e-05
2.2526777778297706,2.5386229864979213,1.7466278182016124e-05
2.25256968773102,2.538708221415655,1.727905210929412e-05
2.2524625558663,2.538792679960904,1.709517971174452e-05
2.2523563738158003,2.5388763691406093,1.6914601302645043e-05
2.2522511332315847,2.5389592958985423,1.6737258249742143e-05
2.252146825837016,2.539041467115872,1.656309295680574e-05
2.252043443426183,2.5391228896117295,1.6392048845502128e-05
2.251940977863332,2.539203570143768,1.6224070337580127e-05
2.251839421082302,2.539283515408714,1.6059102837359677e-05
2.251738765085963,2.5393627320429184,1.5897092714531873e-05
2.25163900194566,2.5394412266228983,1.573798728724734e-05
2.2515401238006603,2.539519005665877,1.558173480550196e-05
2.251442122857603,2.539596075630317,1.5428284434808045e-05
2.251344991389955,2.5396724429164506,1.527758624014752e-05
2.251248721737469,2.5397481138668025,1.5129591170204593e-05
2.2511533063056453,2.53982309476671,1.4984251041869483e-05
2.2510587375652,2.53989739184484,1.4841518525008169e-05
2.250965008051533,2.5399710112736953,1.4701347127502116e-05
2.250872110364203,2.5400439591701245,1.4563691180542131e-05
2.2507800371664035,2.5401162415958205,1.4428505824175675e-05
2.2506887811844463,2.540187864557818,1.4295746993111672e-05
2.250598335207245,2.5402588340089864,1.4165371402763218e-05
2.2505086920858046,2.540329155848516,1.403733653553796e-05
2.2504198447327126,2.5403988359224035,1.3911600627363842e-05
2.2503317861216368,2.5404678800239284,1.3788122654449842e-05
2.2502445092868237,2.5405362938941307,1.3666862320273853e-05
2.250158007322603,2.540604083222279,1.3547780042801904e-05
2.250072273382893,2.540671253646338,1.3430836941922769e-05
2.2499873006807136,2.5407378107534293,1.3315994827107515e-05
2.2499030824876987,2.540803760080291,1.320321618527565e-05
2.2498196121336136,2.54086910711373,1.3092464168881943e-05
2.2497368830058777,2.5409338572910722,1.2983702584201383e-05
2.249654888549089,2.540998016000608,1.2876895879823097e-05
2.2495736222645517,2.5410615885820347,1.2772009135342794e-05
2.249493077709809,2.5411245803268927,1.2669008050252885e-05
2.2494132484981773,2.541186996479,1.256785893302604e-05
2.2493341282982855,2.5412488422348822,1.2468528690385885e-05
2.249255710833618,2.541310122744198,1.2370984816770485e-05
2.2491779898820585,2.541370843110162,1.2275195383971674e-05
2.2491009592754407,2.5414310083899614,1.218112903096537e-05
2.2490246128991,2.541490623595173,1.2088754953906106e-05
2.2489489446914286,2.5415496936921707,1.199804289630998e-05
2.248873948643436,2.5416082236025366,1.19089631393953e-05
