b,error
2.400760000000005,8.896536551358797e-05
2.400770000000005,8.896473923973371e-05
2.400780000000005,8.896411427643011e-05
2.400790000000005,8.896349062365373e-05
2.400800000000005,8.896286828137916e-05
2.400810000000005,8.896224724958232e-05
2.4008200000000053,8.896162752823938e-05
2.4008300000000053,8.896100911732475e-05
2.4008400000000054,8.896039201681539e-05
2.4008500000000055,8.895977622668658e-05
2.4008600000000055,8.895916174691347e-05
2.4008700000000056,8.895854857747203e-05
2.4008800000000057,8.895793671833774e-05
2.4008900000000057,8.895732616948631e-05
2.400900000000006,8.895671693089316e-05
2.400910000000006,8.895610900253423e-05
2.400920000000006,8.8955502384385e-05
2.400930000000006,8.895489707642075e-05
2.400940000000006,8.895429307861823e-05
2.400950000000006,8.895369039095147e-05
2.400960000000006,8.89530890133975e-05
2.4009700000000063,8.895248894593097e-05
2.4009800000000063,8.895189018852795e-05
2.4009900000000064,8.895129274116427e-05
2.4010000000000065,8.895069660381476e-05
2.4010100000000065,8.895010177645621e-05
2.4010200000000066,8.894950825906327e-05
2.4010300000000067,8.8948916051612e-05
2.4010400000000067,8.894832515407786e-05
2.401050000000007,8.89477355664368e-05
2.401060000000007,8.894714728866414e-05
2.401070000000007,8.894656032073531e-05
2.401080000000007,8.894597466262682e-05
2.401090000000007,8.894539031431303e-05
2.401100000000007,8.894480727577071e-05
2.401110000000007,8.894422554697482e-05
2.4011200000000072,8.894364512790145e-05
2.4011300000000073,8.894306601852564e-05
2.4011400000000074,8.894248821882363e-05
2.4011500000000074,8.894191172877067e-05
2.4011600000000075,8.894133654834289e-05
2.4011700000000076,8.894076267751488e-05
2.4011800000000076,8.89401901162639e-05
2.4011900000000077,8.893961886456388e-05
2.4012000000000078,8.893904892239166e-05
2.401210000000008,8.893848028972219e-05
2.401220000000008,8.893791296653147e-05
2.401230000000008,8.893734695279498e-05
2.401240000000008,8.893678224848854e-05
2.401250000000008,8.893621885358755e-05
2.401260000000008,8.893565676806771e-05
2.4012700000000082,8.893509599190502e-05
2.4012800000000083,8.893453652507435e-05
2.4012900000000084,8.893397836755201e-05
2.4013000000000084,8.89334215193132e-05
2.4013100000000085,8.8932865980334e-05
2.4013200000000086,8.893231175059017e-05
2.4013300000000086,8.893175883005664e-05
2.4013400000000087,8.893120721870954e-05
2.4013500000000088,8.893065691652457e-05
2.401360000000009,8.89301079234772e-05
2.401370000000009,8.892956023954292e-05
2.401380000000009,8.892901386469768e-05
2.401390000000009,8.892846879891679e-05
2.401400000000009,8.892792504217671e-05
2.401410000000009,8.892738259445176e-05
2.401420000000009,8.892684145571868e-05
2.4014300000000093,8.89263016259528e-05
2.4014400000000093,8.892576310512935e-05
2.4014500000000094,8.892522589322484e-05
2.4014600000000095,8.89246899902143e-05
2.4014700000000095,8.892415539607313e-05
2.4014800000000096,8.892362211077777e-05
2.4014900000000097,8.892309013430334e-05
2.4015000000000097,8.892255946662556e-05
2.40151000000001,8.892203010772022e-05
2.40152000000001,8.892150205756306e-05
2.40153000000001,8.892097531612898e-05
2.40154000000001,8.892044988339479e-05
2.40155000000001,8.891992575933515e-05
2.40156000000001,8.891940294392674e-05
