b,error
6.494000000000032,5.854956133557391e-05
6.495000000000032,5.845790998652455e-05
6.496000000000032,5.8367871265509e-05
6.497000000000033,5.8279444089095605e-05
6.498000000000033,5.81926273745918e-05
6.499000000000033,5.8107420040043517e-05
6.500000000000034,5.802382100423441e-05
6.501000000000034,5.7941829186685764e-05
6.502000000000034,5.786144350765515e-05
6.503000000000035,5.778266288813617e-05
6.504000000000035,5.7705486249858755e-05
6.505000000000035,5.7629912515287196e-05
6.506000000000036,5.755594060762027e-05
6.507000000000036,5.748356945079077e-05
6.508000000000036,5.741279796946481e-05
6.509000000000037,5.734362508904096e-05
6.510000000000037,5.727604973565032e-05
6.511000000000037,5.721007083615533e-05
6.512000000000038,5.714568731814967e-05
6.513000000000038,5.7082898109956874e-05
6.514000000000038,5.702170214063165e-05
6.515000000000039,5.696209833995652e-05
6.516000000000039,5.690408563844383e-05
6.517000000000039,5.684766296733366e-05
6.51800000000004,5.679282925859392e-05
6.51900000000004,5.6739583444919466e-05
6.52000000000004,5.6687924459732006e-05
6.521000000000041,5.6637851237178476e-05
6.522000000000041,5.658936271213217e-05
6.523000000000041,5.654245782019043e-05
6.524000000000042,5.649713549767511e-05
6.525000000000042,5.645339468163219e-05
6.526000000000042,5.641123430982999e-05
6.527000000000043,5.637065332076018e-05
6.528000000000043,5.633165065363629e-05
6.529000000000043,5.629422524839288e-05
6.530000000000044,5.625837604568591e-05
6.531000000000044,5.6224101986891665e-05
6.532000000000044,5.6191402014106416e-05
6.533000000000045,5.6160275070144936e-05
6.534000000000045,5.613072009854137e-05
6.535000000000045,5.610273604354796e-05
6.536000000000046,5.607632185013433e-05
6.537000000000046,5.6051476463987055e-05
6.538000000000046,5.602819883150978e-05
6.539000000000047,5.600648789982167e-05
6.540000000000047,5.5986342616756766e-05
6.541000000000047,5.5967761930865095e-05
6.542000000000048,5.5950744791409866e-05
6.543000000000048,5.5935290148368885e-05
6.5440000000000484,5.592139695243254e-05
6.545000000000049,5.5909064155004046e-05
6.546000000000049,5.589829070819863e-05
6.5470000000000494,5.5889075564843255e-05
6.54800000000005,5.5881417678475996e-05
6.54900000000005,5.587531600334446e-05
6.5500000000000504,5.587076949440746e-05
6.551000000000051,5.586777710733211e-05
6.552000000000051,5.5866337798494936e-05
6.5530000000000515,5.58664505249805e-05
6.554000000000052,5.5868114244580655e-05
6.555000000000052,5.587132791579526e-05
6.5560000000000525,5.587609049783038e-05
6.557000000000053,5.588240095059788e-05
6.558000000000053,5.589025823471535e-05
6.5590000000000535,5.5899661311505646e-05
6.560000000000054,5.5910609142995795e-05
6.561000000000054,5.592310069191676e-05
6.5620000000000545,5.593713492170293e-05
6.563000000000055,5.595271079649136e-05
6.564000000000055,5.5969827281121454e-05
6.5650000000000555,5.5988483341134884e-05
6.566000000000056,5.600867794277339e-05
6.567000000000056,5.603041005298073e-05
6.5680000000000565,5.605367863939926e-05
6.569000000000057,5.607848267037249e-05
6.570000000000057,5.610482111494196e-05
6.5710000000000575,5.613269294284789e-05
6.572000000000058,5.6162097124528745e-05
6.573000000000058,5.6193032631120485e-05
6.5740000000000585,5.622549843445543e-05
6.575000000000059,5.625949350706266e-05
6.576000000000059,5.629501682216723e-05
6.5770000000000595,5.633206735368925e-05
6.57800000000006,5.63706440762436e-05
6.57900000000006,5.6410745965139476e-05
6.5800000000000605,5.645237199637971e-05
6.581000000000061,5.649552114666033e-05
6.582000000000061,5.6540192393370194e-05
6.5830000000000615,5.658638471458994e-05
6.584000000000062,5.663409708909205e-05
6.585000000000062,5.668332849633987e-05
6.5860000000000625,5.6734077916487304e-05
6.587000000000063,5.6786344330378204e-05
6.588000000000063,5.684012671954615e-05
6.5890000000000635,5.689542406621298e-05
6.590000000000064,5.695223535329012e-05
6.591000000000064,5.7010559564375336e-05
6.5920000000000645,5.7070395683755307e-05
6.593000000000065,5.713174269640208e-05
6.594000000000065,5.719459958797512e-05
6.5950000000000655,5.725896534481919e-05
6.596000000000066,5.7324838953964116e-05
6.597000000000066,5.739221940312472e-05
6.5980000000000665,5.746110568070016e-05
6.599000000000067,5.753149677577277e-05
